Age group by 5,Category,Color,Customer ID,Discount Applied,Frequency of Purchases,Gender,Item Purchased,Location,Payment Method,Promo Code Used,Season,Shipping Type,Size,Subscription Status,Age,Almont Money,Customers by Season,Money by Accessories,Money by Clothing,Money by Footwear,Money by Outerwear,Previous Purchases,Purchase Amount (USD),Review Rating
35-40,Footwear,Pink,3733,No,Annually,Female,Shoes,Indiana,PayPal,No,Spring,Free Shipping,L,No,36,,,,,,,28,92,3.3
65-70,Footwear,Yellow,3136,No,Fortnightly,Female,Shoes,Indiana,Venmo,No,Spring,Free Shipping,L,No,68,,,,,,,48,85,4.7
60-65,Footwear,Black,3562,No,Fortnightly,Female,Sneakers,North Carolina,Credit Card,No,Spring,Standard,L,No,63,,,,,,,39,29,3.4
15-20,Footwear,Olive,3777,No,Fortnightly,Female,Sneakers,Alaska,Credit Card,No,Spring,Standard,L,No,19,,,,,,,10,25,4.1
35-40,Footwear,Gray,3135,No,Weekly,Female,Boots,Kentucky,Bank Transfer,No,Spring,Store Pickup,L,No,35,,,,,,,47,66,4.4
65-70,Footwear,Brown,3253,No,Fortnightly,Female,Sandals,Montana,Credit Card,No,Spring,Store Pickup,L,No,69,,,,,,,48,21,2.7
45-50,Footwear,Black,2717,No,Weekly,Female,Shoes,Colorado,Debit Card,No,Spring,Store Pickup,L,No,47,,,,,,,21,40,2.7
50-55,Footwear,Lavender,3637,No,Weekly,Female,Sandals,California,Cash,No,Summer,2-Day Shipping,L,No,50,,,,,,,36,38,4.2
35-40,Footwear,Gray,2660,No,Fortnightly,Female,Boots,Kansas,Credit Card,No,Summer,2-Day Shipping,L,No,35,,,,,,,46,35,4.4
50-55,Footwear,Teal,3411,No,Bi-Weekly,Female,Sandals,Ohio,Bank Transfer,No,Summer,Free Shipping,L,No,50,,,,,,,38,76,4.3
30-35,Footwear,Silver,2968,No,Annually,Female,Sneakers,Indiana,Venmo,No,Summer,Free Shipping,L,No,34,,,,,,,40,36,3.4
20-25,Footwear,White,2868,No,Fortnightly,Female,Sneakers,Colorado,Cash,No,Summer,Next Day Air,L,No,21,,,,,,,33,55,4.9
55-60,Footwear,Black,3313,No,Quarterly,Female,Sneakers,Louisiana,Cash,No,Summer,Next Day Air,L,No,55,,,,,,,45,75,3.9
55-60,Footwear,Lavender,2694,No,Quarterly,Female,Boots,Hawaii,Cash,No,Summer,Standard,L,No,55,,,,,,,46,70,2.6
40-45,Footwear,Gold,3195,No,Bi-Weekly,Female,Sneakers,Maryland,Credit Card,No,Summer,Standard,L,No,43,,,,,,,10,52,4.6
40-45,Footwear,Silver,3874,No,Weekly,Female,Sandals,Louisiana,Credit Card,No,Summer,Standard,L,No,42,,,,,,,22,43,4
20-25,Footwear,Olive,2682,No,Monthly,Female,Shoes,Massachusetts,Debit Card,No,Summer,Standard,L,No,23,,,,,,,17,23,4.8
35-40,Footwear,Olive,2822,No,Monthly,Female,Shoes,Georgia,Venmo,No,Summer,Standard,L,No,35,,,,,,,37,72,4.5
15-20,Footwear,Indigo,3661,No,Fortnightly,Female,Shoes,Arkansas,Bank Transfer,No,Winter,2-Day Shipping,L,No,19,,,,,,,13,74,3.1
25-30,Footwear,Gray,3412,No,Weekly,Female,Shoes,New York,Cash,No,Winter,2-Day Shipping,L,No,29,,,,,,,45,56,4.9
55-60,Footwear,Maroon,2683,No,Every 3 Months,Female,Sneakers,North Carolina,Venmo,No,Winter,2-Day Shipping,L,No,59,,,,,,,5,65,3.9
20-25,Footwear,Magenta,3143,No,Quarterly,Female,Sneakers,Kansas,Venmo,No,Winter,2-Day Shipping,L,No,23,,,,,,,1,21,4
20-25,Footwear,Blue,2888,No,Bi-Weekly,Female,Sandals,Kentucky,Cash,No,Winter,Express,L,No,23,,,,,,,12,28,2.8
30-35,Footwear,Yellow,3638,No,Fortnightly,Female,Boots,Utah,Credit Card,No,Winter,Express,L,No,32,,,,,,,32,66,3.6
55-60,Footwear,Gold,3658,No,Every 3 Months,Female,Shoes,Alabama,Debit Card,No,Winter,Express,L,No,58,,,,,,,1,82,3.7
55-60,Footwear,Silver,3836,No,Bi-Weekly,Female,Sandals,Pennsylvania,PayPal,No,Winter,Express,L,No,58,,,,,,,28,58,2.6
20-25,Footwear,Peach,3481,No,Monthly,Female,Sandals,New Hampshire,PayPal,No,Winter,Free Shipping,L,No,21,,,,,,,45,79,3.5
30-35,Footwear,Brown,3054,No,Monthly,Female,Shoes,Maine,Bank Transfer,No,Winter,Next Day Air,L,No,32,,,,,,,22,91,3.2
60-65,Footwear,Pink,3082,No,Weekly,Female,Sneakers,Vermont,Credit Card,No,Winter,Next Day Air,L,No,64,,,,,,,11,44,4.9
25-30,Footwear,Maroon,3075,No,Fortnightly,Female,Boots,Massachusetts,Debit Card,No,Winter,Next Day Air,L,No,26,,,,,,,34,55,4.2
65-70,Footwear,Blue,3163,No,Quarterly,Female,Shoes,Wisconsin,Bank Transfer,No,Winter,Standard,L,No,66,,,,,,,28,85,3.9
45-50,Footwear,Olive,3579,No,Quarterly,Female,Shoes,Georgia,Bank Transfer,No,Winter,Standard,L,No,46,,,,,,,22,22,2.6
60-65,Footwear,Charcoal,2920,No,Monthly,Female,Shoes,Minnesota,Debit Card,No,Winter,Standard,L,No,64,,,,,,,31,67,3.8
55-60,Footwear,Violet,3241,No,Monthly,Female,Sandals,West Virginia,Bank Transfer,No,Fall,2-Day Shipping,M,No,56,37,3241,,,37,,37,37,3.8
25-30,Footwear,Violet,2700,No,Annually,Female,Boots,Utah,Debit Card,No,Fall,2-Day Shipping,M,No,25,96,2700,,,96,,49,96,3.6
20-25,Footwear,Violet,3048,No,Bi-Weekly,Female,Sneakers,Vermont,PayPal,No,Fall,2-Day Shipping,M,No,21,74,3048,,,74,,3,74,4.1
25-30,Footwear,Maroon,3326,No,Monthly,Female,Sandals,Alaska,Venmo,No,Fall,2-Day Shipping,M,No,29,97,3326,,,97,,16,97,3.7
60-65,Footwear,Blue,3448,No,Bi-Weekly,Female,Sandals,Arkansas,Bank Transfer,No,Fall,Express,M,No,62,58,3448,,,58,,3,58,4.3
35-40,Footwear,Olive,3570,No,Fortnightly,Female,Sandals,Alaska,Bank Transfer,No,Fall,Express,M,No,35,94,3570,,,94,,9,94,3.3
65-70,Footwear,Gray,3535,No,Weekly,Female,Shoes,Delaware,Cash,No,Fall,Express,M,No,65,83,3535,,,83,,7,83,3.2
45-50,Footwear,Brown,3885,No,Weekly,Female,Sandals,Maryland,PayPal,No,Fall,Express,M,No,47,29,3885,,,29,,3,29,4.9
45-50,Footwear,Silver,3098,No,Quarterly,Female,Shoes,Delaware,Bank Transfer,No,Fall,Free Shipping,M,No,48,33,3098,,,33,,39,33,3.7
25-30,Footwear,Cyan,3779,No,Annually,Female,Sneakers,South Dakota,Debit Card,No,Fall,Free Shipping,M,No,25,60,3779,,,60,,30,60,2.9
55-60,Footwear,Lavender,3023,No,Weekly,Female,Sandals,Georgia,PayPal,No,Fall,Free Shipping,M,No,58,26,3023,,,26,,23,26,4
30-35,Footwear,Purple,2762,No,Every 3 Months,Female,Sneakers,Michigan,Credit Card,No,Fall,Next Day Air,M,No,31,82,2762,,,82,,3,82,3.4
50-55,Footwear,Silver,3502,No,Weekly,Female,Shoes,Nebraska,Bank Transfer,No,Fall,Standard,M,No,53,87,3502,,,87,,43,87,4.8
25-30,Footwear,Violet,3056,No,Bi-Weekly,Female,Sandals,Kansas,Debit Card,No,Fall,Standard,M,No,27,22,3056,,,22,,5,22,5
35-40,Footwear,Beige,2855,No,Monthly,Female,Sandals,Delaware,Venmo,No,Fall,Store Pickup,M,No,36,28,2855,,,28,,25,28,2.7
60-65,Footwear,Magenta,3413,No,Quarterly,Female,Sandals,Indiana,Venmo,No,Fall,Store Pickup,M,No,61,83,3413,,,83,,31,83,3.8
50-55,Footwear,Gold,2900,No,Fortnightly,Female,Boots,Nebraska,Bank Transfer,No,Spring,2-Day Shipping,M,No,50,,,,,,,22,64,4.2
35-40,Footwear,Black,3331,No,Quarterly,Female,Sneakers,Missouri,Bank Transfer,No,Spring,2-Day Shipping,M,No,38,,,,,,,41,96,3.2
25-30,Footwear,Teal,3730,No,Quarterly,Female,Boots,Rhode Island,Cash,No,Spring,2-Day Shipping,M,No,28,,,,,,,50,82,4.7
45-50,Footwear,Yellow,3546,No,Annually,Female,Sandals,Connecticut,Debit Card,No,Spring,2-Day Shipping,M,No,48,,,,,,,22,28,3.7
40-45,Footwear,Gray,2905,No,Monthly,Female,Sandals,Iowa,Venmo,No,Spring,2-Day Shipping,M,No,41,,,,,,,43,41,4
30-35,Footwear,Blue,3369,No,Every 3 Months,Female,Sandals,Nebraska,Bank Transfer,No,Spring,Express,M,No,30,,,,,,,29,25,4.8
45-50,Footwear,Orange,3476,No,Quarterly,Female,Sneakers,South Carolina,Cash,No,Spring,Express,M,No,48,,,,,,,9,88,4.4
30-35,Footwear,Magenta,3259,No,Bi-Weekly,Female,Shoes,New Jersey,Credit Card,No,Spring,Express,M,No,31,,,,,,,11,51,4.3
45-50,Footwear,Peach,3714,No,Every 3 Months,Female,Shoes,Arizona,Debit Card,No,Spring,Express,M,No,49,,,,,,,31,87,2.6
60-65,Footwear,Charcoal,3554,No,Weekly,Female,Shoes,Minnesota,Bank Transfer,No,Spring,Free Shipping,M,No,62,,,,,,,32,99,4.9
55-60,Footwear,Charcoal,3687,No,Bi-Weekly,Female,Sandals,Louisiana,Cash,No,Spring,Free Shipping,M,No,59,,,,,,,17,70,4.8
40-45,Footwear,Violet,3329,No,Bi-Weekly,Female,Sandals,Wisconsin,Cash,No,Spring,Free Shipping,M,No,42,,,,,,,11,35,3.2
45-50,Footwear,Silver,3362,No,Bi-Weekly,Female,Shoes,Florida,Credit Card,No,Spring,Free Shipping,M,No,47,,,,,,,47,26,4.1
50-55,Footwear,Brown,2964,No,Weekly,Female,Boots,Maine,Credit Card,No,Spring,Free Shipping,M,No,52,,,,,,,28,97,3.6
25-30,Footwear,Black,2743,No,Annually,Female,Shoes,Texas,Debit Card,No,Spring,Free Shipping,M,No,27,,,,,,,47,86,3.9
25-30,Footwear,Beige,3724,No,Monthly,Female,Sandals,Rhode Island,Debit Card,No,Spring,Free Shipping,M,No,26,,,,,,,1,30,3.6
65-70,Footwear,Peach,3840,No,Quarterly,Female,Sandals,Connecticut,Venmo,No,Spring,Free Shipping,M,No,66,,,,,,,14,29,3.9
25-30,Footwear,Maroon,3415,No,Quarterly,Female,Boots,Connecticut,Bank Transfer,No,Spring,Next Day Air,M,No,27,,,,,,,3,94,4.9
50-55,Footwear,Brown,2725,No,Fortnightly,Female,Sneakers,Missouri,Debit Card,No,Spring,Next Day Air,M,No,52,,,,,,,11,91,2.5
30-35,Footwear,Brown,3424,No,Bi-Weekly,Female,Boots,Massachusetts,PayPal,No,Spring,Next Day Air,M,No,33,,,,,,,21,71,3.8
60-65,Footwear,Black,3594,No,Monthly,Female,Sandals,Wyoming,PayPal,No,Spring,Next Day Air,M,No,63,,,,,,,24,80,4.6
25-30,Footwear,Purple,3569,No,Quarterly,Female,Sandals,Arkansas,PayPal,No,Spring,Next Day Air,M,No,29,,,,,,,14,71,4.8
55-60,Footwear,Maroon,2673,No,Annually,Female,Boots,West Virginia,Cash,No,Spring,Standard,M,No,56,,,,,,,13,28,2.9
35-40,Footwear,Silver,2794,No,Bi-Weekly,Female,Boots,Massachusetts,Debit Card,No,Spring,Standard,M,No,37,,,,,,,27,57,3.1
15-20,Footwear,Teal,3807,No,Weekly,Female,Boots,Missouri,PayPal,No,Spring,Standard,M,No,18,,,,,,,41,71,3
65-70,Footwear,Blue,2782,No,Weekly,Female,Sandals,Mississippi,PayPal,No,Spring,Standard,M,No,65,,,,,,,33,39,4.6
45-50,Footwear,Violet,3889,No,Bi-Weekly,Female,Sneakers,Virginia,Venmo,No,Spring,Standard,M,No,45,,,,,,,14,69,3.4
25-30,Footwear,Purple,3417,No,Every 3 Months,Female,Sandals,Alabama,Bank Transfer,No,Spring,Store Pickup,M,No,25,,,,,,,11,53,3.2
45-50,Footwear,Charcoal,3702,No,Annually,Female,Sandals,New Mexico,Cash,No,Spring,Store Pickup,M,No,46,,,,,,,36,66,4.5
25-30,Footwear,Green,3707,No,Bi-Weekly,Female,Sandals,Kansas,Cash,No,Spring,Store Pickup,M,No,26,,,,,,,17,55,4
60-65,Footwear,White,3047,No,Every 3 Months,Female,Shoes,Pennsylvania,Cash,No,Spring,Store Pickup,M,No,60,,,,,,,25,49,3.2
60-65,Footwear,Violet,3491,No,Quarterly,Female,Boots,Oregon,Credit Card,No,Spring,Store Pickup,M,No,62,,,,,,,43,82,3.6
70-75,Footwear,Purple,3374,No,Every 3 Months,Female,Sandals,Minnesota,Debit Card,No,Spring,Store Pickup,M,No,70,,,,,,,12,52,3.5
40-45,Footwear,Pink,3760,No,Quarterly,Female,Sneakers,Missouri,Venmo,No,Spring,Store Pickup,M,No,44,,,,,,,30,61,3.5
55-60,Footwear,Indigo,3703,No,Weekly,Female,Shoes,South Carolina,Venmo,No,Spring,Store Pickup,M,No,58,,,,,,,36,65,2.7
55-60,Footwear,Purple,2885,No,Every 3 Months,Female,Boots,Arkansas,Credit Card,No,Summer,2-Day Shipping,M,No,55,,,,,,,47,50,3.4
35-40,Footwear,Gray,3433,No,Every 3 Months,Female,Boots,Connecticut,PayPal,No,Summer,2-Day Shipping,M,No,36,,,,,,,46,44,4.8
50-55,Footwear,Charcoal,2739,No,Every 3 Months,Female,Sneakers,Ohio,Venmo,No,Summer,2-Day Shipping,M,No,50,,,,,,,39,81,4.3
45-50,Footwear,Turquoise,3755,No,Every 3 Months,Female,Shoes,Nebraska,Cash,No,Summer,Express,M,No,46,,,,,,,10,41,4.4
60-65,Footwear,Turquoise,3621,No,Fortnightly,Female,Sandals,Louisiana,Credit Card,No,Summer,Express,M,No,60,,,,,,,28,82,2.9
65-70,Footwear,Brown,2838,No,Weekly,Female,Shoes,Alabama,PayPal,No,Summer,Express,M,No,65,,,,,,,44,88,4.5
65-70,Footwear,Turquoise,2760,No,Every 3 Months,Female,Shoes,Washington,Cash,No,Summer,Free Shipping,M,No,68,,,,,,,42,59,3.9
45-50,Footwear,Orange,2668,No,Fortnightly,Female,Boots,Maryland,Cash,No,Summer,Free Shipping,M,No,48,,,,,,,31,47,4.1
55-60,Footwear,Olive,2789,No,Annually,Female,Boots,Rhode Island,Credit Card,No,Summer,Free Shipping,M,No,56,,,,,,,2,92,3.1
20-25,Footwear,Gold,3822,No,Every 3 Months,Female,Sneakers,Oregon,Credit Card,No,Summer,Free Shipping,M,No,20,,,,,,,34,48,4.6
40-45,Footwear,Green,3019,No,Bi-Weekly,Female,Boots,Texas,Debit Card,No,Summer,Free Shipping,M,No,43,,,,,,,21,41,3
35-40,Footwear,Pink,3497,No,Monthly,Female,Shoes,Idaho,PayPal,No,Summer,Free Shipping,M,No,39,,,,,,,22,38,4
55-60,Footwear,Maroon,3422,No,Weekly,Female,Shoes,New Jersey,PayPal,No,Summer,Free Shipping,M,No,57,,,,,,,27,30,2.9
45-50,Footwear,Olive,3231,No,Annually,Female,Sneakers,Kansas,Debit Card,No,Summer,Next Day Air,M,No,49,,,,,,,38,49,2.5
45-50,Footwear,Lavender,3499,No,Bi-Weekly,Female,Sandals,Kentucky,Bank Transfer,No,Summer,Standard,M,No,47,,,,,,,2,35,3.8
30-35,Footwear,Olive,3404,No,Bi-Weekly,Female,Boots,Illinois,Cash,No,Summer,Standard,M,No,30,,,,,,,1,65,3.9
45-50,Footwear,Teal,3613,No,Every 3 Months,Female,Sandals,Michigan,Cash,No,Summer,Standard,M,No,47,,,,,,,26,29,3.6
25-30,Footwear,Magenta,2746,No,Bi-Weekly,Female,Boots,Michigan,PayPal,No,Summer,Standard,M,No,28,,,,,,,44,98,4.1
25-30,Footwear,Blue,2974,No,Fortnightly,Female,Boots,Indiana,Bank Transfer,No,Summer,Store Pickup,M,No,25,,,,,,,3,65,2.7
70-75,Footwear,Magenta,3247,No,Monthly,Female,Sneakers,Michigan,Cash,No,Summer,Store Pickup,M,No,70,,,,,,,37,98,2.9
20-25,Footwear,Gray,3095,No,Weekly,Female,Sandals,Georgia,Cash,No,Summer,Store Pickup,M,No,22,,,,,,,9,59,2.7
25-30,Footwear,Beige,3190,No,Bi-Weekly,Female,Boots,Kansas,PayPal,No,Summer,Store Pickup,M,No,25,,,,,,,30,87,4.2
25-30,Footwear,Indigo,3213,No,Weekly,Female,Sneakers,Wyoming,Debit Card,No,Winter,2-Day Shipping,M,No,27,,,,,,,21,22,3.6
55-60,Footwear,Gray,2686,No,Quarterly,Female,Boots,Virginia,Credit Card,No,Winter,Express,M,No,56,,,,,,,49,25,2.7
30-35,Footwear,Indigo,3069,No,Weekly,Female,Boots,California,Debit Card,No,Winter,Express,M,No,32,,,,,,,4,40,4.2
55-60,Footwear,Lavender,3001,No,Weekly,Female,Sandals,Ohio,PayPal,No,Winter,Express,M,No,57,,,,,,,7,70,3.7
20-25,Footwear,Magenta,3045,No,Quarterly,Female,Boots,North Carolina,Bank Transfer,No,Winter,Free Shipping,M,No,21,,,,,,,10,67,2.7
45-50,Footwear,Cyan,3563,No,Weekly,Female,Sneakers,Maryland,Bank Transfer,No,Winter,Free Shipping,M,No,47,,,,,,,7,36,3.4
40-45,Footwear,Silver,2956,No,Annually,Female,Boots,Vermont,Credit Card,No,Winter,Free Shipping,M,No,42,,,,,,,46,67,2.6
60-65,Footwear,Maroon,3232,No,Annually,Female,Shoes,Nevada,Credit Card,No,Winter,Free Shipping,M,No,62,,,,,,,9,97,4.4
35-40,Footwear,Brown,3207,No,Monthly,Female,Boots,California,PayPal,No,Winter,Free Shipping,M,No,36,,,,,,,49,52,3
35-40,Footwear,Gold,3009,No,Weekly,Female,Shoes,New Mexico,PayPal,No,Winter,Free Shipping,M,No,39,,,,,,,19,86,4.9
60-65,Footwear,Yellow,3107,No,Annually,Female,Sandals,Alabama,PayPal,No,Winter,Next Day Air,M,No,62,,,,,,,20,57,4.7
30-35,Footwear,Charcoal,2781,No,Fortnightly,Female,Boots,Ohio,PayPal,No,Winter,Next Day Air,M,No,33,,,,,,,29,70,4.1
55-60,Footwear,Lavender,3273,No,Quarterly,Female,Shoes,Texas,PayPal,No,Winter,Next Day Air,M,No,58,,,,,,,34,99,3.1
45-50,Footwear,Yellow,2913,No,Bi-Weekly,Female,Shoes,Oregon,Cash,No,Winter,Standard,M,No,48,,,,,,,27,37,4
50-55,Footwear,Green,3184,No,Every 3 Months,Female,Sneakers,Mississippi,Cash,No,Winter,Standard,M,No,50,,,,,,,14,56,3.5
50-55,Footwear,Pink,3782,No,Fortnightly,Female,Boots,Tennessee,PayPal,No,Winter,Standard,M,No,52,,,,,,,40,99,3.7
50-55,Footwear,Pink,3522,No,Weekly,Female,Shoes,Maryland,Venmo,No,Winter,Store Pickup,M,No,52,,,,,,,35,50,3.7
60-65,Footwear,Cyan,3877,No,Annually,Female,Shoes,Wisconsin,Cash,No,Fall,2-Day Shipping,S,No,60,85,3877,,,85,,7,85,2.6
45-50,Footwear,Orange,3511,No,Monthly,Female,Sneakers,Pennsylvania,Venmo,No,Fall,2-Day Shipping,S,No,49,96,3511,,,96,,14,96,4.9
50-55,Footwear,Blue,2771,No,Quarterly,Female,Boots,Nebraska,Bank Transfer,No,Fall,Express,S,No,50,44,2771,,,44,,22,44,3.3
50-55,Footwear,Pink,3673,No,Monthly,Female,Sandals,New York,PayPal,No,Fall,Free Shipping,S,No,51,81,3673,,,81,,7,81,4.5
30-35,Footwear,Teal,3704,No,Every 3 Months,Female,Sandals,Michigan,PayPal,No,Fall,Standard,S,No,30,83,3704,,,83,,23,83,2.9
25-30,Footwear,Gray,3660,No,Annually,Female,Sandals,Illinois,Bank Transfer,No,Fall,Store Pickup,S,No,27,77,3660,,,77,,46,77,4.9
50-55,Footwear,Purple,3447,No,Weekly,Female,Boots,Louisiana,Cash,No,Spring,2-Day Shipping,S,No,51,,,,,,,20,55,5
20-25,Footwear,Blue,2707,No,Quarterly,Female,Shoes,Alabama,Debit Card,No,Spring,Express,S,No,24,,,,,,,48,40,3.1
15-20,Footwear,Teal,2722,No,Fortnightly,Female,Sandals,Minnesota,PayPal,No,Spring,Free Shipping,S,No,19,,,,,,,17,70,4.9
50-55,Footwear,Maroon,3462,No,Quarterly,Female,Shoes,Wyoming,Cash,No,Spring,Standard,S,No,51,,,,,,,47,23,4.4
25-30,Footwear,Orange,2903,No,Bi-Weekly,Female,Boots,North Carolina,PayPal,No,Spring,Standard,S,No,27,,,,,,,19,32,4.6
60-65,Footwear,Black,3759,No,Quarterly,Female,Sandals,Indiana,Bank Transfer,No,Spring,Store Pickup,S,No,61,,,,,,,23,54,2.7
40-45,Footwear,Blue,3472,No,Bi-Weekly,Female,Sandals,North Carolina,Cash,No,Spring,Store Pickup,S,No,43,,,,,,,31,66,3.1
30-35,Footwear,Yellow,3395,No,Annually,Female,Sandals,Vermont,PayPal,No,Spring,Store Pickup,S,No,31,,,,,,,9,98,4.2
55-60,Footwear,White,3539,No,Monthly,Female,Shoes,Iowa,Venmo,No,Spring,Store Pickup,S,No,56,,,,,,,21,63,4.5
40-45,Footwear,Magenta,3055,No,Monthly,Female,Boots,New Hampshire,Venmo,No,Summer,2-Day Shipping,S,No,42,,,,,,,34,70,4.9
60-65,Footwear,Cyan,3130,No,Every 3 Months,Female,Sandals,Maryland,Venmo,No,Summer,Express,S,No,60,,,,,,,40,20,4.7
40-45,Footwear,Brown,3899,No,Weekly,Female,Shoes,Minnesota,Venmo,No,Summer,Express,S,No,44,,,,,,,24,77,3.8
35-40,Footwear,Brown,3857,No,Quarterly,Female,Sandals,Virginia,Debit Card,No,Summer,Free Shipping,S,No,39,,,,,,,8,78,2.5
30-35,Footwear,White,3517,No,Bi-Weekly,Female,Boots,South Carolina,PayPal,No,Summer,Free Shipping,S,No,34,,,,,,,38,56,4
25-30,Footwear,Maroon,2856,No,Quarterly,Female,Boots,Mississippi,PayPal,No,Winter,2-Day Shipping,S,No,29,,,,,,,33,95,3.8
30-35,Footwear,White,3671,No,Every 3 Months,Female,Shoes,Vermont,PayPal,No,Winter,Free Shipping,S,No,31,,,,,,,4,50,3.8
60-65,Footwear,White,3662,No,Fortnightly,Female,Sandals,Kansas,Credit Card,No,Winter,Next Day Air,S,No,63,,,,,,,5,39,3.5
60-65,Footwear,Orange,3551,No,Weekly,Female,Shoes,West Virginia,Cash,No,Winter,Standard,S,No,63,,,,,,,32,74,4.8
55-60,Footwear,Maroon,3810,No,Annually,Female,Shoes,New York,Credit Card,No,Winter,Standard,S,No,57,,,,,,,28,33,3.7
45-50,Footwear,Brown,2667,No,Fortnightly,Female,Sandals,Ohio,Venmo,No,Winter,Store Pickup,S,No,49,,,,,,,14,95,4.1
25-30,Footwear,Teal,3239,No,Quarterly,Female,Sneakers,Wyoming,Cash,No,Fall,2-Day Shipping,XL,No,25,84,3239,,,84,,37,84,3.4
40-45,Footwear,Olive,2662,No,Annually,Female,Boots,Michigan,Bank Transfer,No,Fall,Express,XL,No,43,96,2662,,,96,,20,96,4.8
50-55,Footwear,Yellow,3376,No,Annually,Female,Boots,Connecticut,Credit Card,No,Fall,Express,XL,No,51,98,3376,,,98,,8,98,4.9
40-45,Footwear,Purple,3607,No,Annually,Female,Sandals,Minnesota,Venmo,No,Fall,Express,XL,No,41,90,3607,,,90,,41,90,4.8
50-55,Footwear,Red,3071,No,Bi-Weekly,Female,Shoes,Alabama,PayPal,No,Fall,Free Shipping,XL,No,52,26,3071,,,26,,43,26,2.6
35-40,Footwear,Turquoise,3177,No,Monthly,Female,Sandals,Arkansas,Credit Card,No,Spring,2-Day Shipping,XL,No,36,,,,,,,39,37,4.6
40-45,Footwear,Purple,3031,No,Weekly,Female,Sneakers,Maryland,Credit Card,No,Spring,2-Day Shipping,XL,No,43,,,,,,,23,24,2.6
40-45,Footwear,Violet,2693,No,Every 3 Months,Female,Sneakers,Washington,Debit Card,No,Spring,Free Shipping,XL,No,40,,,,,,,18,90,4.2
55-60,Footwear,Beige,3227,No,Fortnightly,Female,Sneakers,Minnesota,Bank Transfer,No,Spring,Next Day Air,XL,No,57,,,,,,,38,71,3.3
35-40,Footwear,Pink,2788,No,Fortnightly,Female,Boots,West Virginia,Venmo,No,Spring,Next Day Air,XL,No,36,,,,,,,4,79,4.1
55-60,Footwear,Gray,2936,No,Weekly,Female,Sneakers,North Carolina,Venmo,No,Spring,Standard,XL,No,58,,,,,,,11,27,4.6
45-50,Footwear,Olive,3053,No,Fortnightly,Female,Shoes,Maine,Bank Transfer,No,Spring,Store Pickup,XL,No,48,,,,,,,7,38,4.5
35-40,Footwear,Silver,3622,No,Fortnightly,Female,Sneakers,New Jersey,Cash,No,Summer,2-Day Shipping,XL,No,38,,,,,,,5,32,4
20-25,Footwear,Peach,2899,No,Annually,Female,Sneakers,New Jersey,Credit Card,No,Summer,Express,XL,No,23,,,,,,,29,33,4.6
65-70,Footwear,Orange,3477,No,Weekly,Female,Boots,South Carolina,Cash,No,Summer,Free Shipping,XL,No,68,,,,,,,11,99,3.2
50-55,Footwear,Cyan,2945,No,Every 3 Months,Female,Sneakers,New York,Venmo,No,Summer,Free Shipping,XL,No,50,,,,,,,4,95,3.9
60-65,Footwear,Orange,3692,No,Weekly,Female,Sandals,Michigan,PayPal,No,Summer,Next Day Air,XL,No,63,,,,,,,24,21,4.8
20-25,Footwear,Cyan,3348,No,Bi-Weekly,Female,Shoes,Iowa,PayPal,No,Summer,Standard,XL,No,22,,,,,,,28,70,4.4
55-60,Footwear,Peach,2975,No,Weekly,Female,Sneakers,Tennessee,Credit Card,No,Summer,Store Pickup,XL,No,57,,,,,,,34,99,4.1
50-55,Footwear,Brown,2724,No,Every 3 Months,Female,Shoes,Texas,PayPal,No,Summer,Store Pickup,XL,No,54,,,,,,,3,49,2.9
40-45,Footwear,Green,3026,No,Monthly,Female,Shoes,Montana,PayPal,No,Summer,Store Pickup,XL,No,40,,,,,,,7,60,3.4
50-55,Footwear,Violet,3532,No,Quarterly,Female,Shoes,North Dakota,Cash,No,Winter,2-Day Shipping,XL,No,54,,,,,,,23,52,4.6
60-65,Footwear,Purple,3833,No,Weekly,Female,Boots,Kansas,Cash,No,Winter,2-Day Shipping,XL,No,64,,,,,,,27,38,4.8
60-65,Footwear,Silver,3120,No,Every 3 Months,Female,Sandals,Louisiana,Credit Card,No,Winter,2-Day Shipping,XL,No,63,,,,,,,21,79,4.7
35-40,Footwear,Gray,2672,No,Every 3 Months,Female,Sandals,Alabama,PayPal,No,Winter,2-Day Shipping,XL,No,37,,,,,,,41,64,4.8
25-30,Footwear,Gray,3515,No,Monthly,Female,Sneakers,Georgia,Cash,No,Winter,Express,XL,No,25,,,,,,,32,50,4.7
25-30,Footwear,Pink,2716,No,Fortnightly,Female,Sneakers,Mississippi,PayPal,No,Winter,Express,XL,No,25,,,,,,,29,92,4.1
70-75,Footwear,Indigo,3819,No,Monthly,Female,Sneakers,Oregon,Cash,No,Winter,Free Shipping,XL,No,70,,,,,,,42,41,3.8
40-45,Outerwear,Violet,2898,No,Fortnightly,Female,Jacket,Montana,Cash,No,Fall,Free Shipping,L,No,43,59,2898,,,,59,2,59,2.5
60-65,Outerwear,Pink,3722,No,Annually,Female,Coat,Connecticut,Cash,No,Fall,Next Day Air,L,No,62,60,3722,,,,60,10,60,4
25-30,Outerwear,Green,2843,No,Quarterly,Female,Coat,Arizona,Debit Card,No,Fall,Standard,L,No,28,100,2843,,,,100,48,100,4.3
35-40,Outerwear,Brown,2713,No,Quarterly,Female,Jacket,North Dakota,Debit Card,No,Fall,Standard,L,No,37,95,2713,,,,95,7,95,4.6
